left_elbow_angle,right_elbow_angle,shoulder_hip_dist,view_type,label
135.44,173.69,0.326,2,1
135.3,174.0,0.325,2,1
164.11,173.59,0.3219,2,1
169.7,174.12,0.3187,2,1
156.89,172.51,0.3229,2,1
146.3,172.73,0.3229,2,1
138.75,171.13,0.326,2,1
136.61,171.09,0.3219,2,1
158.04,170.62,0.3219,2,1
134.95,172.7,0.3281,2,1
128.24,174.83,0.3333,2,1
126.76,174.83,0.3312,2,1
126.56,172.67,0.3292,2,1
155.01,173.86,0.3281,2,1
154.94,169.51,0.3292,2,1
160.03,174.46,0.3281,0,-1
159.22,171.86,0.3271,0,-1
154.78,170.25,0.3219,0,-1
153.42,178.53,0.3208,0,-1
158.76,175.91,0.3198,0,-1
161.11,174.24,0.3156,0,-1
158.29,175.99,0.3115,0,-1
165.6,179.89,0.3052,0,1
164.18,178.48,0.2958,0,-1
164.99,178.92,0.2958,0,-1
165.56,177.91,0.2969,0,1
168.12,174.3,0.2969,0,1
170.7,179.02,0.2948,0,1
166.74,179.82,0.2948,0,1
173.0,178.71,0.2938,0,1
178.52,174.3,0.2927,0,1
179.81,171.8,0.2906,0,1
173.65,173.0,0.2896,0,1
173.39,172.63,0.2875,0,1
173.48,174.03,0.2885,0,1
171.59,176.23,0.2885,0,1
171.05,175.65,0.2865,0,1
169.97,177.46,0.2865,0,1
170.62,177.12,0.2865,0,1
169.57,176.8,0.2896,0,1
170.39,177.3,0.2875,0,1
169.63,176.28,0.2885,0,1
170.19,173.65,0.2854,0,1
169.96,174.11,0.2854,0,1
170.91,172.29,0.2865,0,1
171.72,174.11,0.2875,0,1
168.89,172.35,0.2875,0,1
170.68,173.1,0.2865,0,1
170.5,171.14,0.2865,0,1
171.29,171.4,0.2875,0,1
169.28,171.2,0.2865,0,1
167.39,174.17,0.2844,0,1
168.18,173.98,0.2865,0,1
168.18,172.44,0.2844,0,1
167.97,173.19,0.2854,0,1
167.92,172.91,0.2885,0,1
167.92,174.07,0.2885,0,1
171.53,174.88,0.2885,0,1
169.49,174.31,0.2875,0,1
170.49,174.15,0.2854,0,1
171.27,175.89,0.2844,0,1
172.3,176.21,0.2844,0,1
172.59,176.24,0.2802,0,1
171.73,177.4,0.2802,0,1
171.95,179.55,0.2781,0,1
171.34,179.46,0.2781,0,1
170.71,177.35,0.2812,0,1
170.54,177.97,0.2833,0,1
170.18,176.02,0.2812,0,1
169.8,174.13,0.2844,0,1
169.32,179.88,0.2833,0,1
169.54,177.13,0.274,0,1
169.47,176.19,0.2646,0,1
166.45,176.96,0.2656,0,1
167.57,178.93,0.2656,0,1
163.06,179.34,0.2615,0,-1
159.85,179.39,0.2635,0,-1
154.45,179.86,0.276,0,-1
152.98,175.66,0.2865,0,-1
154.03,177.68,0.2833,0,-1
152.78,178.02,0.2823,0,-1
151.12,176.91,0.2844,2,1
153.77,177.18,0.2865,2,1
153.46,177.75,0.2875,2,1
153.82,176.02,0.2885,2,1
153.04,174.0,0.2948,2,1
152.35,179.9,0.2958,2,1
151.59,177.8,0.299,2,1
151.32,169.94,0.299,2,1
150.38,167.47,0.3021,2,1
149.74,169.87,0.3052,2,1
147.28,166.79,0.3073,2,1
146.14,164.91,0.3104,2,1
144.39,165.94,0.3115,2,1
142.96,165.01,0.3125,2,1
140.21,163.49,0.3156,2,1
141.95,163.11,0.3104,2,1
137.86,165.4,0.3094,2,1
138.22,166.03,0.3073,2,1
132.55,171.63,0.3083,2,1
127.62,172.9,0.3021,2,1
127.52,173.19,0.2917,2,1
126.09,174.25,0.2781,2,1
124.37,176.73,0.2687,2,1
124.59,171.82,0.2667,2,1
126.72,169.72,0.2625,2,1
121.21,172.9,0.2604,2,1
119.56,171.8,0.2583,2,1
119.83,168.18,0.2604,2,1
116.94,166.17,0.2562,2,1
116.39,163.69,0.2552,2,1
118.95,161.67,0.2594,2,1
116.05,164.81,0.2615,2,1
115.68,160.12,0.2625,2,1
117.39,164.21,0.2635,2,1
116.43,164.41,0.2625,2,1
114.99,168.12,0.2625,2,1
115.39,169.33,0.2635,2,1
114.08,169.79,0.2646,2,1
115.61,168.37,0.2656,2,1
116.05,166.79,0.2667,2,1
115.33,166.31,0.2646,2,1
115.83,164.68,0.2635,2,1
114.63,167.42,0.2635,2,1
112.93,167.47,0.2615,2,1
112.7,163.55,0.2625,2,1
113.05,163.55,0.2635,2,1
113.6,163.68,0.2625,2,1
111.36,165.61,0.2698,2,1
109.6,163.51,0.2687,2,1
109.6,165.89,0.2687,2,1
108.0,167.14,0.2698,2,1
108.0,167.14,0.2698,2,1
108.0,166.69,0.2687,2,1
104.73,166.69,0.2687,2,1
104.71,164.79,0.2687,2,1
106.3,167.05,0.2687,2,1
109.48,167.05,0.2667,2,1
110.44,166.15,0.2667,2,1
115.12,165.99,0.2646,2,1
